,DATA_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASIL,CPB_ROE,PAIS_OBRA,REGISTRO_SALA,NOME_SALA,PUBLICO,REGISTRO_GRUPO_EXIBIDOR,REGISTRO_EXIBIDOR,REGISTRO_COMPLEXO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_EXIBIDORA,CNPJ_EXIBIDORA
14948,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000713,DOWTOWN 12,33.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14949,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000713,DOWTOWN 12,35.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14950,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000705,DOWTOWN 4,,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14951,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000705,DOWTOWN 4,38.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14952,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000705,DOWTOWN 4,15.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14953,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000705,DOWTOWN 4,10.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14954,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000707,DOWTOWN 6,45.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14955,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000709,DOWTOWN 8,26.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14956,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000709,DOWTOWN 8,13.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14957,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000709,DOWTOWN 8,2.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14958,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000709,DOWTOWN 8,41.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
14989,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002218,ESTAÇÃO NET GÁVEA 3,24.0,6000030.0,592,13608,RIO DE JANEIRO,RJ,ESTAÇÃO CINEMA E CULTURA LTDA,02.745.624/0001-63
14990,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002218,ESTAÇÃO NET GÁVEA 3,10.0,6000030.0,592,13608,RIO DE JANEIRO,RJ,ESTAÇÃO CINEMA E CULTURA LTDA,02.745.624/0001-63
15305,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000210,IGUATEMI 1,35.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15306,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000210,IGUATEMI 1,29.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15307,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000210,IGUATEMI 1,22.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15308,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000211,IGUATEMI 2,45.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15309,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000212,IGUATEMI 3,12.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15310,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000212,IGUATEMI 3,41.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15311,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000213,IGUATEMI 4,29.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15312,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000213,IGUATEMI 4,11.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15313,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000213,IGUATEMI 4,13.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15314,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000214,IGUATEMI 5,24.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15315,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000214,IGUATEMI 5,4.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15316,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000214,IGUATEMI 5,22.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15317,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000214,IGUATEMI 5,13.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15318,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000215,IGUATEMI 6,56.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15330,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002781,ILHA PLAZA 01,77.0,6000027.0,5348,16645,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
15331,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002781,ILHA PLAZA 01,31.0,6000027.0,5348,16645,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
15332,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002781,ILHA PLAZA 01,26.0,6000027.0,5348,16645,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
15333,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002781,ILHA PLAZA 01,72.0,6000027.0,5348,16645,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
15334,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002783,ILHA PLAZA 04,20.0,6000027.0,5348,16645,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
15335,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002783,ILHA PLAZA 04,4.0,6000027.0,5348,16645,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
15336,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002783,ILHA PLAZA 04,131.0,6000027.0,5348,16645,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
15364,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003372,JARDIM GUADALUPE 01,27.0,6000002.0,3136,20404,RIO DE JANEIRO,RJ,MSA EMPRESA CINEMATOGRÁFICA LTDA,03.608.600/0001-25
15365,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003373,JARDIM GUADALUPE 02,56.0,6000002.0,3136,20404,RIO DE JANEIRO,RJ,MSA EMPRESA CINEMATOGRÁFICA LTDA,03.608.600/0001-25
15366,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003373,JARDIM GUADALUPE 02,123.0,6000002.0,3136,20404,RIO DE JANEIRO,RJ,MSA EMPRESA CINEMATOGRÁFICA LTDA,03.608.600/0001-25
15367,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003375,JARDIM GUADALUPE 04,75.0,6000002.0,3136,20404,RIO DE JANEIRO,RJ,MSA EMPRESA CINEMATOGRÁFICA LTDA,03.608.600/0001-25
15368,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003375,JARDIM GUADALUPE 04,61.0,6000002.0,3136,20404,RIO DE JANEIRO,RJ,MSA EMPRESA CINEMATOGRÁFICA LTDA,03.608.600/0001-25
15369,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003375,JARDIM GUADALUPE 04,79.0,6000002.0,3136,20404,RIO DE JANEIRO,RJ,MSA EMPRESA CINEMATOGRÁFICA LTDA,03.608.600/0001-25
15370,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003376,JARDIM GUADALUPE 05,71.0,6000002.0,3136,20404,RIO DE JANEIRO,RJ,MSA EMPRESA CINEMATOGRÁFICA LTDA,03.608.600/0001-25
15447,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002206,KINOPLEX FASHION MALL SALA 02 (PLATINUM),1.0,6000037.0,11751,13482,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15448,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002206,KINOPLEX FASHION MALL SALA 02 (PLATINUM),16.0,6000037.0,11751,13482,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15449,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002206,KINOPLEX FASHION MALL SALA 02 (PLATINUM),7.0,6000037.0,11751,13482,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15491,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001957,KINOPLEX NOVA AMÉRICA SALA 01,70.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15492,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001957,KINOPLEX NOVA AMÉRICA SALA 01,20.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15493,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001957,KINOPLEX NOVA AMÉRICA SALA 01,5.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15494,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001961,KINOPLEX NOVA AMÉRICA SALA 05,189.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15495,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001961,KINOPLEX NOVA AMÉRICA SALA 05,94.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15496,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001961,KINOPLEX NOVA AMÉRICA SALA 05,40.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15497,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001962,KINOPLEX NOVA AMÉRICA SALA 06,130.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15498,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001962,KINOPLEX NOVA AMÉRICA SALA 06,42.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15499,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001962,KINOPLEX NOVA AMÉRICA SALA 06,106.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15500,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001963,KINOPLEX NOVA AMÉRICA SALA 07,109.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15501,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001963,KINOPLEX NOVA AMÉRICA SALA 07,40.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15502,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001963,KINOPLEX NOVA AMÉRICA SALA 07,31.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15503,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5001963,KINOPLEX NOVA AMÉRICA SALA 07,154.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15567,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000066,KINOPLEX RIO SUL - SALA KINOEVOLUTIUM 02,68.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15568,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000066,KINOPLEX RIO SUL - SALA KINOEVOLUTIUM 02,35.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15569,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000066,KINOPLEX RIO SUL - SALA KINOEVOLUTIUM 02,21.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15570,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000067,KINOPLEX RIO SUL - SALA PLATINUM 03,68.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15571,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000067,KINOPLEX RIO SUL - SALA PLATINUM 03,5.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15572,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000067,KINOPLEX RIO SUL - SALA PLATINUM 03,43.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15573,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000067,KINOPLEX RIO SUL - SALA PLATINUM 03,9.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15574,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000068,KINOPLEX RIO SUL - SALA PLATINUM 04,72.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15575,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000068,KINOPLEX RIO SUL - SALA PLATINUM 04,13.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15576,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000068,KINOPLEX RIO SUL - SALA PLATINUM 04,14.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15577,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005519,KINOPLEX RIO SUL - SALA PLATINUM 05,70.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15578,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005519,KINOPLEX RIO SUL - SALA PLATINUM 05,23.0,6000037.0,1991,2390,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15579,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002176,KINOPLEX TIJUCA SALA 01,178.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15580,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002176,KINOPLEX TIJUCA SALA 01,86.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15581,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002176,KINOPLEX TIJUCA SALA 01,13.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15582,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002176,KINOPLEX TIJUCA SALA 01,29.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15583,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002175,KINOPLEX TIJUCA SALA 02,156.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15584,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002179,KINOPLEX TIJUCA SALA 05,50.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15585,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002179,KINOPLEX TIJUCA SALA 05,108.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15586,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002179,KINOPLEX TIJUCA SALA 05,183.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15587,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002180,KINOPLEX TIJUCA SALA 06,31.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15588,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002180,KINOPLEX TIJUCA SALA 06,119.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15589,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002180,KINOPLEX TIJUCA SALA 06,120.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
15604,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002199,KINOPLEX VIA PARQUE 3,10.0,6000037.0,1991,13454,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15605,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002199,KINOPLEX VIA PARQUE 3,56.0,6000037.0,1991,13454,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15606,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002199,KINOPLEX VIA PARQUE 3,28.0,6000037.0,1991,13454,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15607,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005018,KINOPLEX VIA PARQUE 4- KINOEVOLUTION,26.0,6000037.0,1991,13454,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15608,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005018,KINOPLEX VIA PARQUE 4- KINOEVOLUTION,11.0,6000037.0,1991,13454,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15609,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005019,KINOPLEX VIA PARQUE 5,52.0,6000037.0,1991,13454,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15610,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005019,KINOPLEX VIA PARQUE 5,20.0,6000037.0,1991,13454,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15611,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005019,KINOPLEX VIA PARQUE 5,26.0,6000037.0,1991,13454,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15612,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005020,KINOPLEX VIA PARQUE 6,41.0,6000037.0,1991,13454,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15622,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002888,KINOPLEX WEST SHOPPING RIO 01,37.0,6000037.0,1991,17366,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
15623,02/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5002888,KINOPLEX WEST SHOPPING RIO 01,16.0,6000037.0,1991,17366,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
